Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
target-20-neighbours,500,50,0.75,0.23
target-20-neighbours,500,50,0.83,0.21
target-20-neighbours,500,50,0.79,0.3
target-20-neighbours,500,50,0.78,0.35
target-20-neighbours,500,50,0.84,0.21
target-20-neighbours,500,50,0.78,0.33
target-20-neighbours,500,50,0.85,0.21
target-20-neighbours,500,50,0.83,0.2
target-20-neighbours,500,50,0.79,0.36
target-20-neighbours,500,50,0.82,0.19
target-20-neighbours,500,50,0.83,0.26
target-20-neighbours,500,50,0.85,0.21
target-20-neighbours,500,50,0.82,0.2
Random_neighbours,500,50,0.8017671428571428,0.26
Random_neighbours,500,50,0.7928999999999999,0.23
Random_neighbours,500,50,0.7642433333333334,0.34
Random_neighbours,500,50,0.7785433333333333,0.34
Random_neighbours,500,50,0.8203,0.24
Random_neighbours,500,50,0.7491633333333334,0.65
Random_neighbours,500,50,0.7616004761904763,0.26
Random_neighbours,500,50,0.7232433333333335,0.32
Random_neighbours,500,50,0.7985571428571429,0.35
Random_neighbours,500,50,0.7385433333333333,0.3
Random_neighbours,500,50,0.8214866666666667,0.26
Random_neighbours,500,50,0.7685433333333332,0.36
Random_neighbours,500,50,0.7385433333333333,0.31
Random_neighbours,500,50,0.77,0.21
Random_neighbours,500,50,0.7846671428571428,0.34
Random_neighbours,500,50,0.7947561904761905,0.53
Random_neighbours,500,50,0.7928999999999999,0.21
Random_neighbours,500,50,0.7959999999999999,0.38
Random_neighbours,500,50,0.7928433333333333,0.36
Random_neighbours,500,50,0.77,0.35
LimeBased_neighbours,500,50,0.7525333333333333,0.53
LimeBased_neighbours,500,50,0.7209833333333334,0.6
LimeBased_neighbours,500,50,0.7276733333333334,0.52
LimeBased_neighbours,500,50,0.71729,0.61
LimeBased_neighbours,500,50,0.7358333333333333,0.61
LimeBased_neighbours,500,50,0.7189333333333332,0.63
LimeBased_neighbours,500,50,0.6875999999999999,0.54
LimeBased_neighbours,500,50,0.6607999999999999,0.63
LimeBased_neighbours,500,50,0.6809083333333333,0.36
LimeBased_neighbours,500,50,0.7902833333333333,0.5
LimeBased_neighbours,500,50,0.70355,0.64
LimeBased_neighbours,500,50,0.7549666666666667,0.59
LimeBased_neighbours,500,50,0.7151000000000001,0.54
LimeBased_neighbours,500,50,0.78815,0.52
LimeBased_neighbours,500,50,0.7147833333333334,0.5
LimeBased_neighbours,500,50,0.6957000000000001,0.37
LimeBased_neighbours,500,50,0.7167,0.62
LimeBased_neighbours,500,50,0.7291,0.67
LimeBased_neighbours,500,50,0.7442,0.62
LimeBased_neighbours,500,50,0.6944833333333333,0.63
KDE_neighbours,500,50,0.7,0.25
KDE_neighbours,500,50,0.6753999999999999,0.19
KDE_neighbours,500,50,0.6592,0.32
KDE_neighbours,500,50,0.6894,0.34
KDE_neighbours,500,50,0.6994,0.35
KDE_neighbours,500,50,0.6684,0.25
KDE_neighbours,500,50,0.6903999999999999,0.33
KDE_neighbours,500,50,0.6903999999999999,0.22
KDE_neighbours,500,50,0.7053999999999999,0.2
KDE_neighbours,500,50,0.6953999999999999,0.3
KDE_neighbours,500,50,0.6584,0.34
KDE_neighbours,500,50,0.7053999999999999,0.2
KDE_neighbours,500,50,0.6592,0.33
